Week,Year,Week_Numer,Gross,Gross_Diff,Pot_Gross,Potential_Gross_Percent,Average_Paid_Ticket,Top_Ticket,Seats_Sold,Total_Seats,Performances,Capacity,Capacity_Diff,Show_Name
8/25/13,2013,34,207375,207375,319700,0.6487,86.77,223,2390,2620,2,0.912,0,Romeo And Juliet
4/2/00,2000,14,103822,103822,282840,0.3671,29,60,3580,5544,6,0.646,0,Rose
10/12/86,1986,41,28611,28611,0,,0,0,1736,0,7,0,0,Rowan Atkinson At The Atkinson
1/6/85,1985,1,295507,-16845,0,,0,0,11303,0,8,0,0,Royal Shakespeare Company Cyrano And Much Ado
9/20/87,1987,38,157637,157637,0,,0,0,5960,0,8,0,0,Roza
1/7/90,1990,1,99763,-127988,0,,0,0,3728,0,8,0,0,Rumors
2/26/89,1989,9,56040,56040,0,,0,0,4046,0,6,0,0,Run For Your Wife
10/14/12,2012,42,742860,742860,682740,1.0881,89.3,150,8319,8316,6,1,0,Running On Empty
10/29/95,1995,44,50389,50389,187996,0.268,0,45,2355,5090,5,0.463,0,Sacrilege
3/22/87,1987,12,59461,59461,0,,0,0,3313,0,6,0,0,Safe Sex
4/8/18,2018,14,185752,185752,588917,0.3154,53.18,199,3493,4529,7,0.771,0,Saint Joan
4/17/94,1994,16,59313,59313,0,,0,0,2150,0,7,0,0,Sally Marr And Her Escorts
4/13/03,2003,15,176094,176094,223419,0.7882,62.62,85,2812,3258,3,0.863,0,Salome
1/1/89,1989,1,269757,147139,0,,0,0,8185,0,8,0,0,Sarafina
1/2/00,2000,1,902194,207660,905000,0.9969,74.55,90,12102,13488,8,0.897,0.164,Saturday Night Fever
1/5/03,2003,1,122370,-32484,296500,0.4127,52.88,66.25,2314,4744,8,0.488,-0.068,Say Goodnight Gracie
10/14/12,2012,42,66341,66341,148585,0.4465,55.33,175,1199,1352,1,0.887,0,Scandalous
11/19/95,1995,47,27661,27661,239862,0.1153,0,50,1120,7392,8,0.152,0,School For Scandal
1/7/18,2018,1,1015871,-862986,1445048,0.703,103.35,248,9829,12184,8,0.807,-0.196,School Of Rock
2/9/92,1992,6,19286,19286,0,,0,0,1580,0,4,0,0,Search And Destroy
1/5/86,1986,1,254147,16654,0,,0,0,8724,0,8,0,0,Search For Signs
1/1/06,2006,1,162434,86903,484440,0.3353,48.94,86.25,3319,5816,8,0.571,0.236,Seascape
1/1/12,2012,1,600422,600422,877635,0.6841,102.48,198,5859,7236,9,0.81,0,Seminar
1/8/89,1989,2,5661,5661,0,,0,0,470,0,3,0,0,Senator Joe
1/24/88,1988,4,55764,55764,0,,0,0,2549,0,4,0,0,Serious Money
1/7/01,2001,1,292800,-465986,755427,0.3876,61.22,85,4783,10880,8,0.44,-0.416,Seussical
3/17/96,1996,11,22224,22224,0,,31.75,60,700,0,1,0,0,Seven Guitars
9/15/96,1996,37,74901,74901,0,,21.56,45,3474,4156,4,0.836,0,Sex And Longing
1/6/02,2002,1,347656,-32906,412430,0.8429,50.33,81.25,6908,7518,7,0.919,-0.092,Sexaholix 2001 2002
1/1/95,1995,1,112982,71634,225888,0.5002,0,0,4370,5792,8,0.754,0.385,Shadow Box
1/6/91,1991,1,116689,-37093,0,,0,0,5063,0,8,0,0,Shadowlands
1/2/94,1994,1,124465,77202,0,,0,0,3390,0,8,0,0,Shakespeare For My Father
2/19/12,2012,8,305705,305705,684737,0.4465,62.3,250,4907,6054,6,0.811,0,Shatner S Worldwe Just Live In It
2/21/16,2016,8,227422,227422,449892,0.5055,70.34,149,3233,4032,4,0.802,0,She Loves Me
7/30/89,1989,31,89148,89148,0,,0,0,4592,0,7,0,0,Shenandoah
8/9/87,1987,32,19696,19696,0,,0,0,1114,0,1,0,0,Sherlock S Last Case
4/12/92,1992,15,51741,51741,0,,0,0,3405,0,8,0,0,Shimada
4/23/06,2006,17,130711,130711,237263,0.5509,48.47,80,2697,3250,5,0.83,0,Shining City
2/12/89,1989,7,18136,18136,0,,0,0,971,0,4,0,0,Shirley Valentine
1/6/91,1991,1,175236,-148731,0,,0,0,5246,0,8,0,0,Shogunthe Musical
1/5/97,1997,1,723344,-188932,0,,56.8,75,12735,15344,8,0.83,-0.06,Show Boat
1/3/10,2010,1,1387182,331921,1769120,0.7841,107.79,300,12869,13864,8,0.928,0.146,Shrek The Musical
10/29/89,1989,44,17712,17712,0,,0,0,815,0,4,0,0,Sid Ceasar And Company
1/3/99,1999,1,230127,69551,308686,0.7455,39.3,60,5856,6440,8,0.909,0.295,Side Man
1/4/15,2015,1,810486,222427,1195202,0.6781,78.48,197,10327,10424,8,0.991,0.213,Side Show
5/9/04,2004,19,119032,119032,226053,0.5266,46.94,80,2536,3250,5,0.78,0,Sight Unseen
2/19/17,2017,8,226779,226779,678144,0.3344,47.03,223,4822,5446,7,0.885,0,Significant Other
1/5/86,1986,1,299837,-113829,0,,0,0,9530,0,8,0,0,Singinin The Rain
1/1/12,2012,1,1278299,1278299,1765337,0.7241,93.66,200,13649,15795,9,0.864,0,Sister Act
10/12/03,2003,41,121935,121935,454714,0.2682,34.17,80,3569,8232,8,0.434,0,Six Dance Lessons In Six Weeks
4/9/17,2017,15,198222,198222,532536,0.3722,58.47,197,3390,4208,4,0.806,0,Six Degrees Of Separation
3/28/04,2004,13,92197,92197,508536,0.1813,38.18,80,2415,7512,8,0.321,0,Sixteen Wounded
3/15/15,2015,11,253369,253369,303111,0.8359,105.31,248,2406,2406,3,1,0,Skylight
1/4/09,2009,1,363887,-36741,540468,0.6733,85.62,111.5,4250,5202,9,0.817,-0.052,Slava S Snowshow
4/12/87,1987,15,70548,70548,0,,0,0,5814,0,8,0,0,Sleight Of Hand
3/14/04,2004,11,181434,181434,243173,0.7461,68.47,91.25,2650,3174,3,0.835,0,Sly Fox
1/4/87,1987,1,191869,32749,0,,0,0,6206,0,8,0,0,Smile
1/2/00,2000,1,241431,103727,611820,0.3946,58.16,75,4151,9696,8,0.428,0.161,Smokey Joe S Cafe
3/30/86,1986,13,13442,13442,0,,0,0,1211,0,5,0,0,So Long Lonely Street
1/4/87,1987,1,120795,-4942,0,,0,0,4394,0,8,0,0,Social Security
11/1/92,1992,44,81049,81049,0,,0,0,6339,0,8,0,0,Solitary Confinement
4/29/90,1990,17,38657,38657,0,,0,0,2321,0,6,0,0,Some Americans Abroad
1/3/93,1993,1,174659,53818,0,,0,0,5283,0,8,0,0,Someone Who Ll Watch Over Me
1/1/17,2017,1,1478303,815494,1700520,0.8693,101.72,277,14533,15003,9,0.969,0.285,Something Rotten 
3/21/10,2010,12,169004,169004,316125,0.5346,65.66,126.5,2574,3012,3,0.855,0,Sondheim On Sondheim
1/5/86,1986,1,269677,-22504,0,,0,0,7657,0,8,0,0,Song And Dance
7/21/13,2013,29,109750,109750,464170,0.2364,36.71,200,2990,3490,5,0.857,0,Soul Doctor
1/18/09,2009,3,361036,361036,844526,0.4275,30.54,200,11822,12888,8,0.917,0,Soul Of Shaolin
1/3/10,2010,1,865225,100567,987400,0.8763,111.37,125,7769,8328,8,0.933,0.087,South Pacific
1/1/06,2006,1,149965,100953,424933,0.3529,44.9,86.25,3340,5696,8,0.586,0.386,Souvenir
1/4/09,2009,1,1068658,100095,1165310,0.9171,91.54,250,11674,11528,8,1.013,0.027,Spamalot
1/4/09,2009,1,329979,-59377,799182,0.4129,73.92,250,4464,8464,8,0.527,-0.058,Speed The Plow
1/5/14,2014,1,1782904,-393532,1807688,0.9863,119.7,247,14895,15456,8,0.964,-0.002,Spider Man Turn Off The Dark
10/30/88,1988,44,35771,35771,0,,0,0,2179,0,3,0,0,Spoils Of War
1/7/18,2018,1,971851,-484913,1418894,0.6849,82.94,248,11717,12880,8,0.91,-0.064,Spongebob Squarepants
1/3/16,2016,1,688989,221736,1129050,0.6102,85.94,247,8017,9234,9,0.868,0.086,Spring Awakening
1/14/18,2018,2,2411150,392,2384275,1.0113,508.68,850,4740,4740,5,1,0,Springsteen On Broadway
2/13/00,2000,7,64369,64369,285505,0.2255,27.71,65,2323,4632,8,0.502,0,Squonk
9/30/90,1990,39,13210,13210,0,,0,0,1063,0,8,0,0,Stand Up Tragedy
2/9/97,1997,6,27087,27087,0,,15.84,45,1710,4494,7,0.381,0,Stanley
2/8/87,1987,6,32449,32449,0,,0,0,2601,0,5,0,0,Stardust
1/1/89,1989,1,530917,295301,0,,0,0,13200,0,8,0,0,Starlight Express
3/26/89,1989,13,13625,13625,0,,0,0,612,0,4,0,0,Starmites
3/24/96,1996,12,117048,117048,0,,32.66,75,3584,0,6,0,0,State Fair
3/20/05,2005,12,235965,235965,487668,0.4839,54.23,85,4351,7376,8,0.59,0,Steel Magnolias
3/30/97,1997,13,288470,288470,0,,46.18,75,6246,6765,5,0.923,0,Steel Pier
1/4/87,1987,1,72629,18324,0,,0,0,3499,0,8,0,0,Stepping Out
1/1/12,2012,1,371515,371515,998229,0.3722,53.73,250,6914,9711,9,0.712,0,Stick Fly
3/25/01,2001,12,126654,126654,169537,0.7471,42.69,66.25,2967,3216,4,0.923,0,Stones In His Pockets
7/1/18,2018,26,128458,128458,239361,0.5367,81.05,249,1585,1743,3,0.909,0,Straight White Men
2/17/85,1985,7,90871,90871,0,,0,0,2555,0,4,0,0,Strange Interlude
1/4/98,1998,1,115306,25475,352712,0.3269,21.81,70,5286,9333,9,0.566,-0.118,Street Corner Symphony
4/1/18,2018,13,568993,568993,735184,0.7739,106.2,197,5358,5880,4,0.911,0,Summer
8/18/96,1996,33,41900,41900,0,,33.31,55,1258,1497,3,0.84,0,Summer And Smoke
2/12/17,2017,7,136384,136384,145853,0.9351,142.51,399,957,957,1,1,0,Sunday In The Park With George
2/5/17,2017,6,833694,833694,1219135,0.6838,120.48,297,6920,8395,5,0.824,0,Sunset Boulevard
1/3/10,2010,1,303165,84650,881384,0.344,63.45,250,4778,7928,8,0.603,0.182,Superior Donuts
1/3/99,1999,1,435439,85804,622124,0.6999,51.04,75,8532,10528,8,0.81,0.129,Swan Lake
3/5/17,2017,10,53780,53780,85753,0.6271,89.33,209,602,659,1,0.914,0,Sweat
1/1/06,2006,1,802997,272335,725760,1.1064,92.55,101.25,8676,8832,8,0.982,0.251,Sweeney Todd
1/1/06,2006,1,838097,485971,1130315,0.7415,81.46,101.25,10288,12798,9,0.804,0.242,Sweet Charity
2/24/02,2002,8,82765,82765,116564,0.71,87.77,95,943,1422,1,0.663,0,Sweet Smell Of Success
1/4/87,1987,1,164474,74414,0,,0,0,6550,0,8,0,0,Sweet Sue
1/7/01,2001,1,349305,-232313,782586,0.4463,54.78,80,6377,13680,8,0.466,-0.29,Swing 
1/7/96,1996,1,73837,-180391,0,,27.74,65,2662,0,8,0,0,Swinging On A Star
1/3/16,2016,1,391703,120308,1030210,0.3802,56.36,199,6950,9639,9,0.721,0.036,Sylvia
1/4/04,2004,1,364010,6989,760058,0.4789,66.64,101.25,5462,8744,8,0.625,0.022,Taboo
4/14/85,1985,15,71190,71190,0,,0,0,4320,0,8,0,0,Take Me Along
